S1	CUST-001	Unified Search Bar	CAN-DISC-001	Hybrid Search	SUBSET	EXPLICIT	
S1	CUST-002	Proximity-First Flows	CAN-DISC-002	Geo-Proximity	DUPLICATE	EXPLICIT	
S1	CUST-003	Multi-Archetype Checkout	CAN-ORD-001	Multi-Vendor Split	DEPENDENCY	EXPLICIT	
S1	CUST-004	Review with Proof	CAN-ORD-005	Verified Reviews	DUPLICATE	EXPLICIT	
S1	CUST-005	Dispute Escalation	CAN-ADM-001	Disputes	DUPLICATE	EXPLICIT	
S1	VEND-001	Archetype Onboarding	CAN-ID-002	Multi-Hat Sessions	SPECIALIZATION	EXPLICIT	
S1	VEND-002	Location Management	CAN-CAT-004	Branch/Location	DUPLICATE	EXPLICIT	
S1	VEND-003	Storefront Customization	CAN-VND-002	Storefronts	DUPLICATE	EXPLICIT	
S1	VEND-004	Vendor Dashboard	CAN-ID-002	Multi-Hat Sessions	DEPENDENCY	EXPLICIT	
S1	VEND-005	Offline USSD Actions	CAN-VND-003	USSD Fallback	DUPLICATE	EXPLICIT	
S1	VEND-006	Photo Evidence	CAN-FIN-006	Used Escrow Release	DEPENDENCY	EXPLICIT	
S1	ADM-001	Trust Tier Moderation	CAN-ID-003	Tiered KYC	DUPLICATE	EXPLICIT	
S1	ADM-002	Dispute Resolution Queue	CAN-ADM-001	Disputes	DUPLICATE	EXPLICIT	
S1	ADM-003	Taxonomy Management	CAN-ADM-002	Admin UI	DEPENDENCY	EXPLICIT	
S1	CORE-001	6 Transaction Archetypes	CAN-CAT-001	Canonical Catalog	SPECIALIZATION	EXPLICIT	
S1	CORE-002	Quote-to-Order Flow	CAN-CAT-003	B2B Visibility	DEPENDENCY	EXPLICIT	
S1	CORE-003	Trust Tier Badging	CAN-ID-003	Tiered KYC	SUBSET	EXPLICIT	
S1	API-001	Vector Search RAG	CAN-DISC-001	Hybrid Search	DEPENDENCY	EXPLICIT	
S1	API-002	Query Expansion	CAN-DISC-001	Hybrid Search	SUBSET	EXPLICIT	
S1	API-003	Hybrid Retrieval	CAN-DISC-001	Hybrid Search	DUPLICATE	EXPLICIT	
S1	API-004	Contextual Re-ranking	CAN-DISC-002	Geo-Proximity	DEPENDENCY	EXPLICIT	
S1	API-005	WhatsApp Integration	CAN-OPS-004	n8n Workflows	DEPENDENCY	EXPLICIT	
S1	DB-001	Polymorphic Listing Model	CAN-CAT-001	Canonical Catalog	DUPLICATE	EXPLICIT	
S1	DB-002	Vendor-Location Arch	CAN-CAT-004	Branch/Location	DUPLICATE	EXPLICIT	
S1	DB-003	Zambian Address Schema	CAN-CAT-004	Branch/Location	SUBSET	EXPLICIT	
S1	DB-004	Phone Number Formatting	CAN-ID-001	SMS OTP	DEPENDENCY	EXPLICIT	
S1	PAY-001	Native Mobile Money	CAN-FIN-002	Gateway/MoMo	DUPLICATE	EXPLICIT	
